,Year,World Population,YearlyChange,NetChange,Density(P/Km²),UrbanPop,UrbanPop %
0,,,,,,,
1,2020,"7,794,798,739",1.05 %,"81,330,639",52,"4,378,993,944",56 %
2,2021,"7,874,965,825",1.03 %,"80,167,086",53,"4,458,417,153",57 %
3,2022,"7,953,952,567",1.00 %,"78,986,742",53,"4,537,671,317",57 %
4,2023,"8,031,800,429",0.98 %,"77,847,862",54,"4,616,769,941",57 %
5,2024,"8,108,605,388",0.96 %,"76,804,959",54,"4,695,752,643",58 %
6,2025,"8,184,437,460",0.94 %,"75,832,072",55,"4,774,646,303",58 %
7,2026,"8,259,276,737",0.91 %,"74,839,277",55,"4,853,440,042",59 %
8,2027,"8,333,078,316",0.89 %,"73,801,579",56,"4,932,106,155",59 %
9,2028,"8,405,863,295",0.87 %,"72,784,979",56,"5,010,636,794",60 %
10,2029,"8,477,660,693",0.85 %,"71,797,398",57,"5,089,023,789",60 %
11,2030,"8,548,487,400",0.84 %,"70,826,707",57,"5,167,257,546",60 %
12,2031,"8,618,349,489",0.82 %,"69,862,089",58,"5,245,333,711",61 %
13,2032,"8,687,227,850",0.80 %,"68,878,361",58,"5,323,244,862",61 %
14,2033,"8,755,083,431",0.78 %,"67,855,581",59,"5,400,979,916",62 %
15,2034,"8,821,862,661",0.76 %,"66,779,230",59,"5,478,518,637",62 %
16,2035,"8,887,524,213",0.74 %,"65,661,552",60,"5,555,833,477",63 %
17,2036,"8,952,048,940",0.73 %,"64,524,727",60,"5,632,877,620",63 %
18,2037,"9,015,437,653",0.71 %,"63,388,713",61,"5,709,649,218",63 %
19,2038,"9,077,693,676",0.69 %,"62,256,023",61,"5,786,163,111",64 %
20,2039,"9,138,828,468",0.67 %,"61,134,792",61,"5,862,368,105",64 %
21,2040,"9,198,847,240",0.66 %,"60,018,772",62,"5,938,249,026",65 %
22,2041,"9,257,745,535",0.64 %,"58,898,295",62,"6,013,773,230",65 %
23,2042,"9,315,508,050",0.62 %,"57,762,515",63,"6,088,940,515",65 %
24,2043,"9,372,118,186",0.61 %,"56,610,136",63,"6,163,655,296",66 %
25,2044,"9,427,555,367",0.59 %,"55,437,181",63,"6,238,212,209",66 %
26,2045,"9,481,803,274",0.58 %,"54,247,907",64,"6,312,544,819",67 %
27,2046,"9,534,854,828",0.56 %,"53,051,554",64,"6,386,625,322",67 %
28,2047,"9,586,707,986",0.54 %,"51,853,158",64,"6,460,427,625",67 %
29,2048,"9,637,357,637",0.53 %,"50,649,651",65,"6,533,911,569",68 %
30,2049,"9,686,800,357",0.51 %,"49,442,720",65,"6,607,033,749",68 %
31,2050,"9,735,033,990",0.50 %,"48,233,633",65,"6,679,756,162",69 %
32,2051,"9,782,061,551",0.48 %,"47,027,561",66,0,0 %
33,2052,"9,827,884,640",0.47 %,"45,823,089",66,0,0 %
34,2053,"9,872,499,765",0.45 %,"44,615,125",66,N.A,N.A.
35,2054,"9,915,902,218",0.44 %,"43,402,453",67,N.A,N.A.
36,2055,"9,958,094,074",0.43 %,"42,191,856",67,N.A,N.A.
